playerId	avg_points_per_min	games	bucket
600006	0.379	1	MID
2222	0.226	1	LOW
2223	0.333	1	MID
203468	0.444	1	MID
2224	0.600	1	MID
2225	0.265	1	LOW
2226	1.000	1	HIGH
1626185	0.200	1	LOW
203516	0.133	1	LOW
2679	0.476	1	MID
1630190	0.000	1	ZERO
1630191	0.521	1	MID
1630193	0.862	1	HIGH
1628467	0.385	1	MID
1630691	0.000	1	ZERO
1628966	0.312	1	MID
78000	0.167	1	LOW
165	0.667	2	MID
166	0.475	1	MID
1630245	0.408	2	MID
211	0.393	1	MID
168	0.351	1	MID
212	0.000	1	ZERO
78500	0.817	3	HIGH
77115	0.263	1	LOW
78459	0.182	1	LOW
202083	0.400	2	MID
216	0.457	2	MID
714	0.250	1	LOW
202087	0.391	1	MID
600013	0.933	1	HIGH
77618	0.577	1	MID
2230	0.227	2	LOW
31	0.267	1	LOW
1626192	0.600	1	MID
203528	0.500	1	MID
2736	0.524	1	MID
1642281	0.000	1	ZERO
77070	0.429	1	MID
1628973	0.621	1	MID
1847	0.393	1	MID
78460	0.182	1	LOW
1631099	0.125	1	LOW
77074	0.364	1	MID
175	0.438	1	MID
1628978	0.625	1	MID
76230	0.750	1	HIGH
177	0.353	1	MID
2	0.515	2	MID
78014	0.240	1	LOW
178	0.429	2	MID
179	0.532	1	MID
78510	0.407	2	MID
3	0.417	2	MID
78466	0.048	2	LOW
224	0.528	1	MID
77578	0.545	1	MID
77623	0.251	2	LOW
76733	0.435	2	MID
78516	0.500	1	MID
203487	0.467	1	MID
42	0.158	1	LOW
2693	0.650	1	MID
203488	0.957	1	HIGH
2742	0.385	1	MID
2248	0.274	2	LOW
2748	0.364	1	MID
181	1.333	1	HIGH
78471	0.345	1	MID
76195	0.062	2	LOW
1628537	0.800	1	HIGH
1906	0.000	1	ZERO
78473	0.321	1	MID
78022	0.000	1	ZERO
77582	0.345	1	MID
77583	0.429	1	MID
77133	0.346	1	MID
78475	0.308	1	MID
1630311	0.000	1	ZERO
1642347	0.476	1	MID
77586	0.236	2	LOW
78028	0.385	1	MID
78523	0.261	1	LOW
236	0.235	1	LOW
731	0.000	1	ZERO
688	0.172	1	LOW
77634	0.036	1	LOW
238	0.412	1	MID
689	0.484	1	MID
203493	0.000	1	ZERO
735	0.372	1	MID
76747	0.686	1	MID
2250	0.765	1	HIGH
203496	0.529	1	MID
203994	0.304	1	MID
56	0.707	1	HIGH
1861	0.500	1	MID
203999	0.750	1	HIGH
2755	0.500	1	MID
2757	0.808	1	HIGH
77092	0.286	1	LOW
2804	0.476	1	MID
1913	0.087	2	LOW
192	0.417	1	MID
1628995	0.000	1	ZERO
194	0.235	1	LOW
78481	0.522	1	MID
77141	0.438	2	MID
77142	0.556	1	MID
692	0.189	2	LOW
1918	0.429	1	MID
1631212	0.470	1	MID
198	0.362	2	MID
76252	0.483	1	MID
77144	0.258	1	LOW
76253	0.345	3	MID
78532	0.571	1	MID
696	0.385	1	MID
1642402	0.215	1	LOW
78037	0.286	1	LOW
698	0.667	1	MID
77148	0.448	1	MID
78534	0.400	1	MID
247	0.485	2	MID
248	0.381	1	MID
77644	0.200	1	LOW
77149	0.000	1	ZERO
76800	0.240	1	LOW
76305	0.500	1	MID
77648	0.333	1	MID
2260	0.000	1	ZERO
61	0.250	1	LOW
76308	0.500	1	MID
63	0.271	2	LOW
64	0.657	2	MID
203103	0.452	1	MID
67	0.200	2	LOW
203106	0.444	1	MID
1425	0.667	1	MID
202718	0.286	1	LOW
76262	0.000	1	ZERO
252	0.321	2	MID
78541	1.000	1	HIGH
255	0.300	1	MID
78047	0.519	2	MID
78049	0.354	1	MID
77653	0.000	1	ZERO
305	0.465	2	MID
70	0.083	1	LOW
76317	0.483	1	MID
72	0.308	1	MID
1381	0.846	1	HIGH
73	0.167	1	LOW
76	0.545	1	MID
2772	0.400	1	MID
202720	0.182	1	LOW
78	0.516	1	MID
202721	0.250	1	LOW
202725	0.286	1	LOW
1889	0.324	1	MID
1934	0.414	1	MID
1938	1.000	1	HIGH
76272	0.522	2	MID
760	0.324	1	MID
77210	0.000	1	ZERO
265	0.056	1	LOW
77710	0.250	1	LOW
77215	0.000	1	ZERO
76324	0.545	1	MID
78106	0.333	1	MID
766	0.000	1	ZERO
767	0.105	1	LOW
317	0.459	1	MID
203076	0.738	1	HIGH
82	1.000	1	HIGH
202681	0.595	1	MID
78606	0.333	1	MID
203078	1.029	1	HIGH
1891	0.367	1	MID
77719	0.594	1	MID
88	0.000	1	ZERO
202688	0.182	1	LOW
1894	0.474	1	MID
202689	0.562	1	MID
1897	0.545	1	MID
1629013	0.771	1	HIGH
101107	0.233	1	LOW
1944	0.143	1	LOW
1449	0.977	1	HIGH
202738	1.167	1	HIGH
1642382	0.000	1	ZERO
1627732	0.237	1	LOW
273	0.641	1	MID
1627734	0.467	1	MID
76283	0.000	1	ZERO
78561	0.609	1	MID
77175	0.343	2	MID
1627735	0.417	1	MID
275	0.424	3	MID
1627739	0.438	1	MID
203080	0.429	1	MID
279	0.067	1	LOW
78610	0.613	1	MID
78567	0.358	2	MID
324	0.500	1	MID
77721	0.514	1	MID
203083	0.208	1	LOW
76336	0.750	1	HIGH
76832	0.733	2	HIGH
78614	0.710	3	HIGH
328	0.300	1	MID
203086	0.667	1	MID
202691	0.469	1	MID
78617	1.000	1	HIGH
2294	0.179	1	LOW
203089	0.452	1	MID
202693	0.287	2	LOW
95	0.375	1	MID
203585	0.238	1	LOW
202694	0.486	1	MID
202695	0.737	1	HIGH
76838	0.556	1	MID
101111	0.857	1	HIGH
202696	0.476	2	MID
203136	0.000	1	ZERO
203138	0.329	2	MID
1500	0.478	1	MID
1629022	0.733	1	HIGH
1005	0.000	1	ZERO
1456	0.387	1	MID
1502	0.105	1	LOW
1956	0.133	1	LOW
1505	0.087	1	LOW
1627741	0.626	1	MID
280	0.100	1	LOW
1506	0.000	2	ZERO
281	0.222	1	LOW
77182	0.593	1	MID
1629029	0.778	1	HIGH
283	0.615	1	MID
76296	0.000	1	ZERO
330	0.286	1	LOW
781	0.435	1	MID
782	0.571	1	MID
1627748	0.267	1	LOW
288	0.603	3	MID
76298	0.111	1	LOW
77685	0.350	1	MID
78577	0.333	1	MID
203092	0.071	1	LOW
786	0.470	2	MID
787	0.091	1	LOW
77733	0.461	2	MID
77689	0.361	2	MID
203095	0.488	2	MID
76847	0.231	1	LOW
1460	0.478	2	MID
101120	0.333	1	MID
101123	0.000	1	ZERO
101124	0.533	1	MID
101127	0.179	1	LOW
203648	0.400	1	MID
101128	0.167	1	LOW
2404	0.800	1	HIGH
1515	0.543	1	MID
2406	0.526	1	MID
292	0.125	1	LOW
78133	0.286	1	LOW
1631311	0.306	1	MID
1627759	0.625	2	MID
77694	0.000	1	ZERO
299	0.611	1	MID
77697	0.452	2	MID
345	0.500	1	MID
76356	0.486	1	MID
76402	0.308	1	MID
349	0.458	1	MID
76403	0.414	1	MID
101130	0.438	1	MID
76902	0.316	1	MID
101131	0.250	1	LOW
101133	0.115	1	LOW
1474	0.211	1	LOW
2365	0.143	2	LOW
101135	0.571	1	MID
76908	0.000	1	ZERO
2863	0.000	1	ZERO
101139	0.500	1	MID
2867	0.444	1	MID
78095	0.105	1	LOW
78097	0.375	2	MID
351	0.433	1	MID
76362	0.324	1	MID
78596	1.000	1	HIGH
1627814	0.300	1	MID
353	0.273	1	LOW
355	0.000	1	ZERO
76365	0.000	1	ZERO
77751	0.750	1	HIGH
77300	0.000	1	ZERO
356	0.171	1	LOW
78149	0.273	1	LOW
77302	0.154	1	LOW
402	0.500	1	MID
76412	0.000	1	ZERO
77800	0.545	1	MID
404	0.182	1	LOW
77757	0.433	2	MID
901	0.368	1	MID
406	0.667	1	MID
76867	0.294	1	LOW
101141	0.000	1	ZERO
905	0.207	1	LOW
101144	1.000	1	HIGH
202323	0.000	1	ZERO
101145	0.385	1	MID
1629056	0.871	1	HIGH
202328	0.000	1	ZERO
202329	0.000	1	ZERO
1536	0.563	2	MID
201935	0.771	1	HIGH
78151	0.487	1	MID
361	0.373	2	MID
363	0.385	1	MID
77264	0.754	2	HIGH
78651	0.000	1	ZERO
76375	0.851	1	HIGH
365	0.291	2	LOW
1627826	0.625	1	MID
76874	0.614	2	MID
76379	0.259	1	LOW
101150	0.645	4	MID
913	0.561	1	MID
76879	2.000	1	HIGH
202330	0.241	1	LOW
202331	0.625	2	MID
77817	0.920	1	HIGH
100263	0.146	2	LOW
202332	0.286	1	LOW
202333	0.222	1	LOW
1495	0.514	1	MID
76928	0.067	1	LOW
1497	0.000	1	ZERO
1541	0.343	2	MID
1498	0.415	1	MID
202338	0.222	1	LOW
1544	0.578	1	MID
201943	0.105	1	LOW
202339	0.533	1	MID
1627780	0.333	1	MID
101209	0.286	1	LOW
1629614	0.185	1	LOW
371	0.302	1	MID
1627789	0.214	1	LOW
77320	0.250	1	LOW
375	0.605	1	MID
76385	0.375	2	MID
78213	0.500	2	MID
76882	0.711	1	HIGH
422	0.250	1	LOW
76887	0.500	1	MID
921	0.498	2	MID
426	0.000	1	ZERO
922	0.250	1	LOW
77328	0.133	1	LOW
76889	0.160	1	LOW
203186	0.294	1	LOW
926	0.694	1	MID
927	0.188	1	LOW
1054	0.533	1	MID
2440	0.562	1	MID
2399	0.519	1	MID
201950	1.132	2	HIGH
201952	0.622	1	MID
202348	0.222	1	LOW
2446	0.382	2	MID
202349	0.355	1	MID
1600	0.412	1	MID
1106	0.571	1	MID
1559	0.000	1	ZERO
201959	0.374	2	MID
383	0.800	1	HIGH
77332	0.000	1	ZERO
76441	0.184	2	LOW
431	0.488	1	MID
432	0.222	1	LOW
77784	0.333	1	MID
433	0.211	2	LOW
77334	0.000	1	ZERO
76444	0.290	1	LOW
931	0.400	1	MID
436	0.463	1	MID
77788	1.333	1	HIGH
76447	0.857	1	HIGH
932	0.000	1	ZERO
76944	0.053	1	LOW
937	0.310	1	MID
938	0.454	2	MID
77839	0.200	1	LOW
201960	0.190	1	LOW
1563	2.000	1	HIGH
2457	0.000	1	ZERO
1629630	0.743	1	HIGH
201969	0.217	1	LOW
1627850	0.333	1	MID
1629635	0.588	1	MID
1627854	0.909	1	HIGH
1629637	0.409	1	MID
891	0.294	1	LOW
397	0.838	1	HIGH
78233	0.000	1	ZERO
442	0.192	2	LOW
894	0.345	1	MID
895	0.176	1	LOW
76003	0.540	3	MID
78238	0.000	1	ZERO
76500	0.567	1	MID
1630526	0.363	2	MID
448	0.000	1	ZERO
101181	0.271	2	LOW
77845	0.385	1	MID
77847	0.854	1	HIGH
202362	0.727	1	HIGH
947	0.693	2	MID
1629091	0.500	1	MID
1123	0.033	2	LOW
101235	0.200	1	LOW
1125	0.000	1	ZERO
201976	0.415	2	MID
1622	0.472	2	MID
1629641	0.316	1	MID
1629643	0.000	1	ZERO
1627861	0.000	1	ZERO
76462	0.596	2	MID
951	0.833	1	HIGH
456	0.097	2	LOW
77357	0.367	1	MID
457	0.160	1	LOW
1641723	0.417	1	MID
1630537	0.429	1	MID
76017	0.367	1	MID
954	0.636	1	MID
955	0.200	1	LOW
1630539	0.000	1	ZERO
77905	0.233	2	LOW
77907	0.500	1	MID
203810	0.692	1	MID
1630	0.155	2	LOW
1631	0.000	1	ZERO
1138	0.000	1	ZERO
1629652	0.264	1	LOW
76471	0.000	1	ZERO
462	0.650	1	MID
76970	0.375	1	MID
76025	0.222	1	LOW
962	0.111	1	LOW
468	0.154	1	LOW
76522	0.000	1	ZERO
78304	0.653	3	MID
77415	0.213	2	LOW
78308	0.286	1	LOW
76526	0.575	2	MID
76978	0.333	1	MID
969	0.087	1	LOW
76979	0.616	4	MID
2034	0.486	1	MID
2038	0.000	1	ZERO
77372	0.071	1	LOW
76482	1.000	1	HIGH
76483	0.564	1	MID
1629717	0.440	1	MID
77420	0.591	1	MID
77376	0.160	1	LOW
1630556	0.158	2	LOW
1641744	0.248	1	LOW
76983	0.436	1	MID
976	0.500	1	MID
977	0.952	1	HIGH
76536	0.643	1	MID
78318	0.589	2	MID
77879	0.517	1	MID
979	0.491	2	MID
2041	0.000	1	ZERO
202396	0.333	1	MID
2045	0.385	1	MID
2049	0.087	1	LOW
1629670	0.250	1	LOW
2544	0.713	2	HIGH
2545	0.067	2	LOW
1629678	0.692	1	MID
201609	0.304	1	MID
1629726	0.000	1	ZERO
980	0.738	1	HIGH
76045	0.000	1	ZERO
78279	0.511	2	MID
77884	0.833	1	HIGH
2052	0.042	1	LOW
77936	0.484	1	MID
2550	0.242	1	LOW
2058	0.000	1	ZERO
2059	0.400	1	MID
201568	0.879	1	HIGH
202954	0.100	1	LOW
1710	0.488	1	MID
2557	0.378	1	MID
1714	0.667	1	MID
1716	0.619	1	MID
1717	0.632	1	MID
76553	0.000	1	ZERO
78335	0.286	1	LOW
76104	0.389	1	MID
76106	0.553	1	MID
77449	0.553	1	MID
76603	0.000	1	ZERO
77946	0.100	1	LOW
76607	0.857	1	HIGH
2561	0.545	1	MID
201573	0.442	1	MID
201574	0.323	1	MID
201575	0.235	1	LOW
2564	0.260	3	LOW
201577	0.000	1	ZERO
1629244	1.000	1	HIGH
203903	0.381	1	MID
201627	0.701	2	HIGH
1725	0.000	1	ZERO
1628400	0.150	1	LOW
1629743	0.667	1	MID
1630581	0.448	2	MID
1641774	0.734	1	HIGH
1630631	0.429	1	MID
77502	1.333	1	HIGH
76567	0.632	1	MID
107	0.439	3	MID
76568	0.455	1	MID
77954	0.636	1	MID
77504	0.000	1	ZERO
2072	0.586	1	MID
201580	0.500	1	MID
109	0.321	1	MID
77506	0.130	1	LOW
201581	0.389	1	MID
2074	0.375	1	MID
2570	0.300	1	MID
2572	0.541	1	MID
201586	0.415	3	MID
2124	0.000	1	ZERO
201587	0.143	3	LOW
201588	0.657	1	MID
201589	0.250	1	LOW
1629750	0.467	1	MID
1628365	0.000	1	ZERO
200746	0.801	2	HIGH
203915	0.906	2	HIGH
200749	0.889	1	HIGH
76070	0.273	2	LOW
1628368	0.312	1	MID
203918	0.533	1	MID
1628414	3.000	1	HIGH
1739	0.312	1	MID
77010	0.410	1	MID
1630596	0.387	1	MID
76120	0.385	1	MID
111	0.333	1	MID
77463	0.456	2	MID
1630598	0.397	1	MID
77962	0.532	2	MID
76577	0.500	1	MID
78404	0.450	1	MID
77965	0.667	1	MID
77019	0.513	2	MID
77516	0.421	1	MID
201142	0.947	1	HIGH
201145	0.500	1	MID
2585	0.251	3	LOW
200751	0.296	1	LOW
201147	0.651	2	MID
200752	0.333	1	MID
201599	0.344	1	MID
2588	0.605	2	MID
201149	0.277	2	LOW
1628372	0.641	1	MID
1743	0.000	1	ZERO
1626143	0.333	1	MID
200758	0.300	1	MID
1626145	0.167	1	LOW
1628378	0.686	1	MID
76081	0.091	1	LOW
1628379	0.727	1	HIGH
1626149	0.556	1	MID
76130	0.652	1	MID
120	0.200	2	LOW
76583	0.312	1	MID
1630202	0.688	1	MID
1641796	0.000	1	ZERO
78366	0.650	1	MID
124	0.364	1	MID
78369	0.661	2	MID
76631	0.444	1	MID
1630208	0.245	1	LOW
203382	0.250	1	LOW
77978	0.333	1	MID
77527	0.000	1	ZERO
78418	0.333	1	MID
201152	0.192	2	LOW
77528	0.143	1	LOW
201153	0.476	2	MID
2594	0.499	2	MID
201155	0.353	1	MID
200760	0.714	1	HIGH
202498	0.190	2	LOW
1626150	0.542	1	MID
1626151	0.133	2	LOW
203933	0.580	2	MID
200811	0.200	1	LOW
200768	0.431	2	MID
1626154	0.333	1	MID
1628389	0.324	2	MID
1626156	0.549	2	MID
203939	0.645	1	MID
1626158	0.455	1	MID
1626203	0.286	1	LOW
76094	0.276	2	LOW
1626204	0.222	1	LOW
1630166	0.677	1	MID
1630168	0.364	1	MID
133	0.611	2	MID
1631106	0.292	1	LOW
78423	0.113	2	LOW
137	0.559	1	MID
76598	0.803	2	HIGH
77984	0.364	1	MID
138	0.290	1	LOW
201160	0.118	1	LOW
77536	0.105	1	LOW
76647	0.681	2	MID
201163	0.424	1	MID
200770	0.292	2	LOW
1761	0.500	1	MID
2202	0.629	1	MID
2203	0.373	2	MID
1628396	0.625	1	MID
1626164	0.976	1	HIGH
2207	0.565	2	MID
2209	0.312	1	MID
200826	0.167	1	LOW
1628449	1.333	1	HIGH
1630176	0.000	1	ZERO
77494	0.286	1	LOW
143	0.429	1	MID
76154	0.000	1	ZERO
77498	0.605	1	MID
146	0.000	1	ZERO
78435	0.444	1	MID
149	0.912	1	HIGH
78437	0.231	1	LOW
77548	0.500	1	MID
200780	0.750	1	HIGH
2211	0.444	1	MID
203457	0.235	1	LOW
203953	0.486	1	MID
1626171	1.000	1	HIGH
1626172	0.526	1	MID
2216	0.190	1	LOW
201228	0.182	1	LOW
78390	0.345	1	MID
1629346	0.263	1	LOW
200837	0.118	1	LOW
1626224	0.645	1	MID
1631120	0.000	1	ZERO
77054	0.293	2	LOW
1642267	0.108	1	LOW
76166	0.412	1	MID
156	1.000	1	HIGH
157	0.333	1	MID
78445	0.556	1	MID
202	0.428	3	MID
1631128	0.000	1	ZERO
204	0.575	4	MID
77106	0.429	1	MID
76217	0.414	1	MID
76712	0.467	1	MID
208	0.429	1	MID
703	0.258	1	LOW
600001	0.262	1	LOW
203463	0.000	1	ZERO
76716	0.291	3	LOW
201188	0.774	1	HIGH
77609	0.000	1	ZERO
